Key,File,Type,UsedInMainMenu,NoTranslate,English
drinkJarPureMineralWaterDesc,items,Food,,,Water: 60\nStamina Regen: 15%\nCure Dysentery: 20%\nEfficient Digestion: +15% (5min)\n\nPure mineral water is good for your digestion and hydrates you for days!\nExertion will not make you hungry and thirsty as quickly.
drinkJarRedTeaDesc,items,Food,,,"Water: 24\nStamina Regen: 15%\nEfficient Digestion: 15% (4min)\n\nAn ancient Chinese secret, red tea is known for being an antioxidant, providing excellent rehydration and reducing max stamina drain so that exertion does not make you hungry and thirsty as quickly."
drinkJarRiverWaterDesc,items,Food,,,Water: 10\nStamina Regen: 15%\nDysentery: 12%\n\nDisgusting murky water but it's the apocalypse. You can't be picky. Boil at a campfire to purify it.
drinkJarYuccaJuiceDesc,items,Food,,,Water: 34\nStamina Regen: 15%\n\nYucca juice provides excellent hydration.
drinkYuccaJuiceSmoothieDesc,items,Food,,,Food: 22\nHealth: 22\nWater: 78\nStamina Regen: 15%\nCold Resist: +30 (15min)\n\nThis smoothie helps you survive in severely cold environments.


medicalAloeCreamDesc,items,Medical,,,"Health: 5\nAbrasion Healing Speed: 200%\n\nAloe cream can be used as a basic healing item, to increase abrasion healing speed or to craft first aid bandages.\nUse the secondary action to treat another player."
medicalBandageDesc,items,Medical,,,Stop Bleeding: 100%\n\nA simple cloth wrap to dress wounds. Use it to stop bleeding damage.\nUse the secondary action to treat another player.
medicalFirstAidBandageDesc,items,Medical,,,"Health: 30\nAbrasion Healing Speed: 300%\nStop Bleeding: 100%\n\nBandages coated in aloe stop bleeding, heal wounds and increase abrasion healing speed.\nUse the secondary action to treat another player."
medicalFirstAidKitDesc,items,Medical,,,"Health: 180\nAbrasion Healing Speed: 400%\nStop Bleeding: 100%\nSuture Laceration: 100%\n\nFirst aid kits stop bleeding, heal wounds, increase abrasion healing speed and suture lacerations.\nUse the secondary action to treat another player."
medicalPlasterCastDesc,items,Medical,,,Heals a broken arm or leg more quickly than a splint but does not protect against further injury.\n\nUse the secondary action to treat another player.
medicalSplintDesc,items,Medical,,,Heals a broken arm or leg but does not protect against further injury.\n\nUse the secondary action to treat another player.


drugAntibioticsDesc,items,Medical,,,Cure Infection: 25%\n\nAntibiotics can cure infections.\n\nCan be crafted in a beaker at a campfire.
drugHerbalAntibioticsDesc,items,Medical,,,Cure Infection: 10%\n\nHerbal Antibiotics can cure infections.\n\nCan be crafted in a cooking pot at a campfire.
drugRecogDesc,items,Medical,,,Ranged Damage: +50%\nWater: -30\nDuration: 5min\n\nRecog enhances ranged damage.
drugSteroidsDesc,items,Medical,,,"Carrying Capacity: 50\nRun Speed: +10%\nWater: -30\nDuration: 10min\n\nSteroids decrease encumbrance, allowing you to carry more items, and allow you to run faster."
drugFortBitesDesc,items,Medical,,,Damage Mitigation: +50%\nWater: -30\nDuration: 2min\n\nFort Bites greatly increase your damage resistance.
